,From,TimeStamp,To,TxHash,Value
0,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512687237,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0xc8936fa41ad8ea11ba4f5abe2ae60de6b7b4c7fee0cdf87545c363707199da1d,27.15
1,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512687894,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xaba1bbecef8ff3c1a3f4354c28499ac00dd7a6ebfb0b942153c8eb26afe3ecd4,27.1
2,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512689600,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xcb3728fbf2f2155802de6de36666c4256d13f9beba7c97ff814800b5c4057ffd,0.0
3,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512689658,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x56374616584b8712d3b882f6983d9bf15e7455cf703b58b3a0eebc79af449629,0.0
4,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512690259,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x4187257b4d11d0af8fb54e1d07fdfcc1dd151bd7e9f96e8c13eaba4715ecf5d7,0.0
5,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512694359,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x594f74c94b90c707024446a3c7d88078dab923bcae736960ca519dd458c8bc02,28.57800000000001
6,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512695062,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xd2107d64cd70a0199d1196d91037f177660d4e76e67415b865e53ec62df6eec2,28.6
7,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512712844,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x724e9879957695186c7f9052b719c10bc89a05b26598ba5c86c8a2134293d452,0.0
8,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512712924,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x63333392ddaac53dda806bd8fc1dc93a80e65ef66612d9caac2507b557faeebc,0.0
9,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512713038,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0xcb101bb0f681a6c8732b17077857e412cfa3c783fab7a053b684a43212e7d6d1,48.3034
10,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512713067,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x94b742cd17de8ea126cca0c04756a0d6895b89d37b5901a74b3e41a8f2e2a00e,0.0
11,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512713102,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xe9cc7463446a398be7567cac6dc07174a4f4bee379114d3d833e2e7751ce3236,48.0
12,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512713165,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xe3343bc92352d0cb4e13a0b8b1cdd862eab7b793ee87d06e97a3d944da5f649c,0.0
13,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512713206,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xd2670ca402bf6d5f97db39bfb5e93338518668680fe4d10a54c20ffd2f2e2296,0.0
14,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512713368,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xac4bc572f112999434a64c1bb86c2f6004bdcb7b828e5b72ebfff5cf37555f8c,0.0
15,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512728438,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x08bb7cd9fd8753a297620e4c46413f6a69da76327040512a415ad5c321b3d902,87.4242
16,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512728502,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xb8f25679fab3e94e6be7d78cff5aca49ef78a7d77a404934e7726e561c416609,87.0
17,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512728571,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x28cd79887f2bbca98ce54c2a162a66f4b487953c5411044ddc0b1432787c1301,0.0
18,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512728626,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x644465e011e9d30726b99e1a84ffdff0529b574d01b7029ac1cb794af1ab8faa,0.0
19,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512728675,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x70830c5d213b63d272c687f4c445236020f1e87ec0827fe06b0e168d6ef9e9db,0.0
20,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512775063,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x9e9a654bfffbffc10841a4ad02ec1ce6910946d2a9f1e42b6a711997f736e9d4,58.5056
21,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512775140,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x01b1e1f5194246bd22b5e2094b9df1c7e8d9c00f72b844a8d068a0eb02a9cab7,59.0
22,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512780695,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x1a218a77dbdbdcf2e2d143292a3988181c46c45b76faac0b058f97728b369676,0.0
23,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512780737,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x854712fd5253f02dedce7e9dc63635bf3ca2cd0ee89cf81442090cb800992b04,0.0
24,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512780957,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xeb3458dceb25fa43a7d7df1febcfdd715d00630346d14f06b0c5c63ee51bbb9d,0.0
25,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512786815,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x75d3fd629a874d53c886b3d8a1c6239feae7dcab7f1655845a2cbcbd5c91cbb1,0.0
26,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512788977,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x6fd6fbc288747bf8923cd6929f81e5961e0bd218d8c5eb1f4f82fb83c468533c,12.959000000000001
27,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512789283,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x887ad41bdc02fea728ade33e4d448915e310ffb5194227a74143dfef811e68a9,12.0
28,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512801590,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x5521128210a2c6188d01d6fd5c7cecac87652854bdad6eabbf2a6d834a7d0d54,0.0
29,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512801690,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x3ecc8546d22c32fd89168a800275f537325a155dce63ddac088d835b755c3f03,0.0
30,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512801793,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x6980ff92587900e09114578c7ac33e96f14437ca760cc3f6ae539b8eb9e915bc,0.0
31,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512803659,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x55577d3d47f5ae35a1e2e56d5271cc82b489e7c38b803af03d80402a6e9ad701,0.0
32,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512803746,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x1f0d2ac60cfdc61828bda25445c5971dda5fc07fb46835842e5fc85e850ffaf0,0.0
33,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512803822,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x66134ccb82e4635e166a812047795f7028f2e5518306913e89a7651f93319487,0.0
34,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512804211,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x613f150b536920c0b49d93e07d4d07fafc8c8df0ee84f20f1357efcfaf274c4b,12.22587578
35,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512804358,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xfed85a5a87d84be00e37f617f5b9b0f926cf786c8e5301f6c5c3ac83a8b884f5,13.0
36,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512804463,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xf7254334748700e0959a8f6a7d4e00274f6532f9338576f79cc4f83687d62058,0.0
37,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512804525,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x5458c2ebed4d1e4cce855f60ead7c1f446f6c373c498fc738a59cd3c9b501739,0.0
38,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512804663,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x9044df2ce5074f1165926a48edb82df47179e6a51c80a231d9d3ab24f399ed96,0.0
39,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512804676,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x08ed2f771a09a41b171fab51aa45d82db9f31d1d0ac3a78159334abe0f76e3f6,10.5248
40,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512804999,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xf7ccbe834f787c56e8d8dbfee00c3042b29dc924662de5e607c85e9bc18fd1ca,0.0
41,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512805008,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xddbf565d9639787fbc42da303f0820bc35da8f126eb2bf9fe196285e722cc698,0.0
42,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512805193,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x6e42b711aa2c7e373b22b1376a4f2c8c32fffcc1e5fdb5a2c1cb1e58fa277541,0.0
43,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512805236,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xd947b59c086c231791ac98130ff8c25301049f8a8a5b5edecf14ceec760eec65,0.0
44,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512805450,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xb9077130e210422b4073dfaa3c041c4b825617d0b1b79f6d2909fd865f108851,0.0
45,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512805620,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x006c9eab10bbe7701ba9da52d5ad457cc4cad5ee2e7d39f376cd83b5ccb04328,10.5
46,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512806212,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x8d0796407d26dcbdb8b140977e161c70cb445d904a3fa8ce5a9acdf867f76731,24.915675
47,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512806309,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x5d089e9c2d0b3aff5c5b4bca2a0a0b319fa61badd21662f0c1158e79c0be7c27,25.0
48,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512806862,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x4b8b2dc5e3dfaf2dd3d8cf4e8bac8bdd509e34aae78b2d94afca402641fe9ff6,28.292540000000002
49,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512806986,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xd6e3f850294a5ad006923ce7ce9372748a4676716644a5a60bd46f3c236536d1,28.0
50,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512813171,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x06aee1d20f8fb50f0770797291c1cb2abd5b8687b272adee00944bd7ea6c7dcb,0.0
51,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512813279,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xe499b2085c7407014a3590f667be30db40d079213ebf8d37be04c9da8d1d559e,0.0
52,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512813396,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xbadb1cae49ffca066d3877316e4cd64a3ddb89ced5a8fe1ea352f144bb301682,0.0
53,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512815963,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x8d4a68c576a59d8a7b63e092a0e8ea63d51722dad06d58b297788a11b2f79723,31.156999999999996
54,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512816253,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xdebf7e9346e6555f211c19ffd1715aa4e18766566eb9145b81bad226a4ccc87e,31.5
55,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512819369,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x0eb93b49d2da1841d2dddc0af756312935b6741ae32b9bcccb4fb85517e1bc36,0.0
56,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512819498,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x27dab6fadd4d6893b0c6e4aa240b886145a4431d762525c406ba7cedf715523e,0.0
57,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512819560,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xf0efc21f20d52d1827e693063fc55cf044a6a0ce4afb004272f4a82aa79781b2,0.0
58,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512823149,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x4123426064a6956135358c6811d0bbf8def153664b6e8090fb0661570be453b8,15.641770000000001
59,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512823555,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x2f63cd9390f4d705ea3aa793b435ae480b2fde9006bf9f9052231e0f93fad457,15.6
60,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512826697,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xfa1c6dd3f9ce91a6d27272b8f3bc24529c9510e7cc47c1d421f74da6fc323865,0.0
61,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512826773,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x2b0a2bac7efd5ce993c85922330defc63fd906e01295294b9827891f4868ef89,0.0
62,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512827190,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xf8fa8c2386e44f613d944413d28e5fab9354dc3c08d09804d1b87f71bffbcc5a,0.0
63,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512827302,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x9f0842e418fb11e439e0efc231a0e66212ac46c9c7d14cbfa1f14334ae373974,0.0
64,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512827595,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0xb7c669266912684fc3b66ae5c7b2bee74cdb73194e933f732356613c811ec03b,7.350648
65,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512827595,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x713354b042abd4598eb83431b3a3b848de390d2f420588cf97a8a66ca4caf403,21.4585
66,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512827664,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xf9a0b98acdb246b20afbe40c04077136fe43bd5a54353d2161868934e0245bdf,29.0
67,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512828909,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x996f20cac395e2b5a3a490f463cb27ce814ce1867f486893303169438a9a948b,0.0
68,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512829023,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x508ac67410747c1477e64a9a7a6ad47fd97347618e12b6ff62e244db4fa2e101,0.0
69,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512829123,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xdc36d31f65b907704ed232924c47922728ae2c7e90e8251c8b553843c66ab3e0,0.0
70,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512830753,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x9d0a1e49307ac00531d6712117eec9ff9272ebce28deb2773bf2147dd39bb7f4,8.22775
71,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512830804,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x348758dd7d447b3d2fecdae7225f95a97d1698fc8f638d6e655da181ce5a56c8,8.1
72,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512858756,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xdcf02e1f9e1a0dd9351c42c6ef70ad52778225853c53af359be9d2d432204d0a,0.0
73,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512858826,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x391b3380697f27bdd29815ab8f82e735fb7500c57b932d017887dc73147cf79d,0.0
74,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512858928,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x3a371552f6994b06e63cb60d448360480d8dcdcd560c6413eee1867f4f41d500,0.0
75,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512859069,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xfb9f67687fe556c5a8e8b23ea3704913d0c853b2b292845980fc9c0e42a0d6dd,0.0
76,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512859219,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0xa0d523b38ed664e126fc8097a0eaff5937847491fe6b8fabc10cc1eeb460a13a,0.0
77,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512861083,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,0x2d3f62466c9644d7f3c48c7f60385bbd7d8fde5025fe37dbc5665fe95cd4cf96,56.181999999999995
78,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512861326,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x72a599c3e590d709bc4937c7aa0def7b673a1a89e269b6063113b16b30be2447,56.0
79,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512862337,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x40f24c6fb0804cf2751ba487b9dd4aadb1a77473c9c92ae11867f8e4ff5d6d70,0.0
80,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512862435,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x6cd50769a72e887bd5c8477c9f814841f1b9085c274a8d977c3afde0a1752115,0.0
81,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512865321,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xfde447a5a6f5c4e93f43d85a18bc1a4961d95977c4b1eaf63cd4d6d9b13e0799,0.0
82,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512865367,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x2e4fc5d5743e2300aaab9a317c5e4d740e901e48c28c3a39e20210a0a48c729d,0.0
83,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512865450,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x3a38bf7eece86acb1ebed156914c28a3b6293ae9593908b43b56ac28a659c6d5,0.0
84,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512866980,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x47e06afa78e46bd212a70e93da5f4f8e042cc2e81ec64732588df90074772737,0.0
85,0xf2b1fdc974a80ae077f285421eb39e10403fb1f2,1512867157,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x3c3b5d78a13902c000806ece6c77f239159c3e9f78a32e114a06269c7498bf0b,0.0
